야트하우스입갤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(211.208) 02.20 
막귀새끼들 ㅋㅋㅋ     ㅇㅇ(118.235) 02.20 
ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ 02.20 
트롤 1분전ㅋㅋㅋ     fx(183.97) 02.20 
립싱크 응와이스급 ㅋㅋㅋㅋ     신화그룹구.. 02.20 
쥐소연 존나예뻐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ 02.20 
트롤가즈아ㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ 02.20 
트와이스랑똑같농 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ      KIR 02.20 
암쏘맷 입갤 1분전 ㅋㅋㅋㅋㅋ     ㅇㄹ(45.64) 02.20 
빵뀨똥꾸만 없노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(211.117) 02.20 
암쏘매애애애애애ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ 02.20 
통수치면 시청률 50 간다 순옥ㅇㅏ     ㅇㅇ(110.12) 02.20 
트와이스 ㅋㅋ     마거릿 02.20 
쥐와이스 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(125.176) 02.20 
존나 ㅋㅋㅋㅋㅋㅋㅋ     ☺⭕(211.36) 02.20 
트동도 입갤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     소쇼우sin 02.20 
트와이스 ㅋㅋ     ㅇㅇ(121.169) 02.20 
코로나에 언택트안하고 오프공연이네     ㅇㅇ(223.38) 02.20 
트와이스 입갤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋ     ㅇㅇ(220.80) 02.20 
립싱크 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     Circular 02.20 
===02/21 02:31:40
립싱크잘하노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ      이성경 02.20 
통수칠까봐무섭노ㅋㅋㄱ     ㅇㅇ 02.20 
안맞노 ㅋㅋㅋㅋㅋ     ㅇㅇ(121.183) 02.20 
아... 트와이스 해버리네     ㅇㅇ(218.155) 02.20 
트와이스 잘하노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(110.70) 02.20 
언제걸리녀 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ 02.20 
바다걸리기 3분전ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(223.38) 02.20 
아이즈원 공연 ㄴㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(59.26) 02.20 
니들머보냐     ㅇㅇ(106.101) 02.20 
스와나다라나우조나빈체로 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     럽성진 02.20 
그나저나 김소연 이쁘긴 진짜 이쁘네 몸매도 진짜 예술이네 ㄷㄷㄷㄷㄷㄷㄷㄷ     ㅇㅇ(114.202) 02.20 
트와이스 하네 ㅋㅋㅋㅋ     한번다녀왔.. 02.20 
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     병신 02.20 
트와이스했다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     부산교대(210.91) 02.20 
틀와이스 콘서트ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     띵동츄에요 02.20 
붕서진ㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(121.88) 02.20 
막귀충들 ㅋㅋ     ㅇㅇ(1.250) 02.20 
이걸 모르노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     이달 02.20 
트와이스 ㅋㅋ     마거릿 02.20 
저거 뽀록난다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(121.128) 02.20 
오동도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     쿨쿨 02.20 
트와이스중ㅋㅋㅋ     ㅇㅇ(106.102) 02.20 
지금 트와이스중인거야??????????ㅋㅋㅋㅋㅋㅋ     ㅂㅈㄷㄱ(39.117) 02.20 
암쏘매 입갤 30초 전 ㅋㅋㅋㅋㅋ     ㅇㅇ(58.224) 02.20 
갑자기 아츄나오면 레전드 ㅋㅋ     찬0(211.215) 02.20 
암쏘매드하라고ㅋㅋ     프레디프리.. 02.20 
트와이스 ㅋㅋ     마거릿 02.20 
복면가왕행 ㅋㅋㅋㅋㅋ     ㅇㅇ 02.20 
룸즈원 새끼들 질질 싸노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ      ㅇㅇ(223.39) 02.20 
===02/21 02:31:44
매드갑 사신이노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(59.24) 02.20 
오동도 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     이나은꼬시.. 02.20 
아이즈원 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(59.26) 02.20 
ㅋㅋㅋ립싱크도 트와이스보다 잘하놐ㅋㅋㅋㅋ     ㅇㅇ(59.19) 02.20 
이분은 바로오오오오     ㅇㅇ(118.235) 02.20 
모모 :  립싱크는 나보다 못하네ㅋ     루다유니스 02.20 
통수엔딩 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     토롱이 02.20 
또 아이즈원 ㅋㅋㅋㅋ      ㅇㅇ(221.140) 02.20 
트와이스 입갤 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(211.36) 02.20 
립싱크 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     astdghj 02.20 
매드갑 슺격당하는거ㅏ니노 zzzzzzzzzzzzzzzzzzzzz     ㅇㅇ 02.20 
다른사람이네 ㅋㄱㄲ     광명 02.20 
오윤희로바뀐거아님?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(219.250) 02.20 
주작하는게 룸빵 주작즈원 급이노 ㅋㅋㅋㅋ     ㅇㅇ(175.123) 02.20 
통수제발ㅋㅋㅋ     ㅅㅁㅅ(112.151) 02.20 
틀와이스 1분전ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     소쇼우sin 02.20 
트롤가자고 ㅋㅋ     마거릿 02.20 
통수 시전 ㅋㅋㅋㅋㅋㅋ1분전 ㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(115.161) 02.20 
빵똥 ㄹㅇ 못왔노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(218.152) 02.20 
바다랑 로나랑 바꿔치기당했노ㅋㅋㅋㅋㅋㅋ     유양 02.20 
모동도준비 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ      KIR 02.20 
로나 온거 아니노?     ㅇㅇ(223.38) 02.20 
곧 통수 맞는다 맞아야지 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(124.49) 02.20 
주작 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     astdghj 02.20 
두근두근두근     ㅇㅇ(58.141) 02.20 
모모 입갤 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     클리 02.20 
오오오오오오오오오ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     띵동츄에요 02.20 
오윤희가 부르는 거 아니냐 ㅋㅋㅋ     꿈꾸는날 02.20 
아아아아아앙아아아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ 02.20 
===02/21 02:31:47
통수입갤 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(210.117) 02.20 
모동도 대기 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     Circular 02.20 
뭐라 처씨부리노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ 02.20 
통수쳐라ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     부산교대(210.91) 02.20 
아이즈원 하소 ㅆㅂ ㅋㅋㅋㅋㅋ      ㅇㅇ(223.38) 02.20 
혐별이 ㅋㅋ     마거릿 02.20 
고우시노     ㅇㅇ(175.223) 02.20 
틀나봉쓰 아니냐???ㅋㅋㅋㅋㅋ     ㅇㅇ(218.51) 02.20 
킬기준ㅋㅋ     프레디프리.. 02.20 
암쏘음매 언제 부르노 ㅋㄱ ㅋ     NC다이노무..(58.120) 02.20 
혐별이 ㅋㅋㅋㅋㅋ     ㅇㄹ(45.64) 02.20 
오윤희네ㅋㅋㅋ     ㅇㅇ(39.7) 02.20 
저걸모르나 ㅋㅋㅋㅋㅋ     ㅇㅇ(122.42) 02.20 
너목보행 ㅋㅋ     한번다녀왔.. 02.20 
준비ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     GUEST02 02.20 
야블리즈 야츄 나오면 레전드 ㅋㅋㅋ     찬0(211.215) 02.20 
틀나봉쓰가 부르는거겠노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(223.38) 02.20 
매드 드가자 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     삐융즈 02.20 
모동도입갤 ㅋㅋㅋ     보나 02.20 
암쏘매드나 부르라고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ      ㅇㅇ(223.39) 02.20 
통수 1분전 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     아리사님 02.20 
은별누나 ㅋㅋㅋㅋㅋ      ㅇㅇ(220.84) 02.20 
모동도 준비ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋ     ㅇㅇ(220.80) 02.20 
커프커프...익스큐즈미     ㅇㅇ(118.33) 02.20 
아아아아아아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     이나은꼬시.. 02.20 
혐별이 ㅋㅋㅋ     개념원리 02.20 
통수언재오노 ㅋㅋㅋㅋㅋㅋㅋㅋ     DEADPOOL 02.20 
통수가즈아ㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ 02.20 
야폭갑 왜 제니 안데려왔냐고 ㅋㅋㅋㅋㅋㅋ     우하하팡파.. 02.20 
===02/21 02:31:50
순옥타임 입갤ㅋㅋㅋㅋㅋㅋ     ㅇㅇ(223.62) 02.20 
트와이스 잘하농 ㅋ     센세 02.20 
아 걸릴것같아 ㄴㅋ     이성경 02.20 
암 쏘 매드 zzzzzzzzzzzzzzz     ㅇㅇ 02.20 
틀유진ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄴ     ㅇㅇ(219.250) 02.20 
통수각나왔죠 ㅋㅋ     ㅇㅇ(1.250) 02.20 
2부무대 야블리즈 대기 ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋ     럽성진 02.20 
바다 ㅋㅋ     마거릿 02.20 
모모 대기ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(121.88) 02.20 
아아아아아아아아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     띵동츄에요 02.20 
사상최초이중트와이스ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     주자희 02.20 
히든싱어에서 ㅋㅋㅋ너목보 되기직전 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(218.53) 02.20 
아아아아아아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     Circular 02.20 
오윤희네 ㅋㅋㅋㅋ     한번다녀왔.. 02.20 
모동도언제나오노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ      ㅇㅇ(222.104) 02.20 
주작즈원급 주작 ㅋㅋㅋㅋㅋㅋ     ㅇㅇ(175.123) 02.20 
틀나봉쓰 등장ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     소쇼우sin 02.20 
바다가 아니라 배로나일듯     ㅇㅇ(223.38) 02.20 
일베방송 스브스답게 마스크도 안쳐끼노     ㅇㅇ(39.112) 02.20 
여기서 들키지말고 나중에 빵터졐음좋겠어      ㅇㅇ(220.81) 02.20 
트롤가나 ㅋㅋ     마거릿 02.20 
틀나봉쓰 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     astdghj 02.20 
아이즈원 대오열 ㅋㅋㅋㅋㅋ      ㅇㅇ(223.38) 02.20 
통수치라고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     부산교대(210.91) 02.20 
틀진이노ㅋㅋㅋㅋㄱ     ㅇㅇ 02.20 
까마떤 누눌 떠쓸때ㅠㅋㅋ     ㅇㅇ(222.105) 02.20 
암쏘매드 ㅋㅋㅋㅋ     보나 02.20 
뭐냐 zzzzzzzzzzzzzzzzzzzzzzzzx     ㅇㅇ 02.20 
유진누나ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     호컬지 02.20 
===02/21 02:31:53
순옥타임 입갤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(220.80) 02.20 
틀나봉쓰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     띵동츄에요 02.20 
틀 ㅋㅋㅋㅋ     매좆 02.20 
틀나봉쓰 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     Circular 02.20 
머고시발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ      ㅇㅇ(222.104) 02.20 
틀나봉쓰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     디시헌터 02.20 
정보) 순옥킴은 야반가성 영화에서 모티브를 얻었다     ㅇㄴㅇ_(121.182) 02.20 
오윤희엿노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     이나은꼬시.. 02.20 
틀나봉쓰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     띵동츄에요 02.20 
응? ㅋ     ㅇㅇ(125.1.. 02.20 
전라봉쓰 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     이달 02.20 
전라봉쓰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(175.214) 02.20 
틀나봉쓰     ㅇㅇ(125.184) 02.20 
아얼른가자고 ㅋㅋㅋㅋ     ☺⭕(211.36) 02.20 
유진이노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     세정✋ 02.20 
전라봉쓰     ㅇㅇ(123.109) 02.20 
틀나봉쓰 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(59.24) 02.20 
유진이노 ㅋㅋㅋㅋㅋㅋㅋㅋ     어록바 02.20 
킬나봉쓰 ㅋㅋㅋㅋㅋ      ㅇㅇ(220.84) 02.20 
오우 야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(1.238) 02.20 
킬나봉쓰 ㅋㅋㅋㅋㅋ     집앞초등학.. 02.20 
통수 ㅋㅋㅋㅋ     ㅇㅇ 02.20 
틀나봉쓰 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     소쇼우sin 02.20 
틀나봉쓰 ㅋㅋㅋㅋ     히스클리프 02.20 
머고 ㅋㅋㅋ     찬0(211.215) 02.20 
오우     클리 02.20 
머고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     루카스 02.20 
ㅁㅊ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     삐융즈 02.20 
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(218.51) 02.20 
===02/21 02:31:56
와     ㅌㅍ힘 02.20 
킬나봉쓰 ㅋㅋ     마거릿 02.20 
킬나봉쓰 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     원빌롱 02.20 
머고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(121.169) 02.20 
틀나봉스ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     호무호무해 02.20 
오윤이 난입 ㅋㅋㅋㅋㅋ     ㅇㅇ(122.42) 02.20 
바다가 유진으로바뀌는마법 ㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ 02.20 
틀나봉쓰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(121.88) 02.20 
역시 ㅋㅋㅋㅋㅋㅋ     ㅇㅇ(125.178) 02.20 
틀나봉쓰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     가두 02.20 
전라봉쓰 ㅋㅋㅋㅋㅋ     fx(183.97) 02.20 
틀나봉쓰 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     astdghj 02.20 
틀나봉쓰 ㅋㅋㅋ     개념원리 02.20 
틀나봉쓰 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(115.161) 02.20 
나봉쓰ㅋㅋㄱ     ㅅㅁㅅ(112.151) 02.20 
오윤희ㅋㅋㅋㅋ     ㅇㅇ(118.235) 02.20 
오윤희노ㄷㄷㄷㄷㄷㄷㄷㄷ     유양 02.20 
유진이였노 ㅋㅋㅋㅋㅋ     서경별곡 02.20 
sesㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     띵동츄에요 02.20 
ㅗㅜㅑ ㅋㅋㅋㅋㅋㅋㅋㅋ      ㅇㅇ(110.70) 02.20 
틀나봉쓰 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ     시스루 02.20 
머노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     우뎅 02.20 
개막장이네 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(121.141) 02.20 
오윤희 입갤 ㅋㅋㅋ     ㅇoㅇo 02.20 
틀나봉쓰 ㅋㅋㅋㅋㅋㅋ     ㅇㅇ(121.183) 02.20 
전라봉쓰 ㅋ     센세 02.20 
틀나봉쓰뭐고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     Circular 02.20 
킬나봉스ㅋㅋ     ㅇㅇ(223.38) 02.20 
틀나봉ㅆ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ 02.20 
===02/21 02:31:59
헐 ㅋㅋㅋㅋㅋㅋㅋ     ㅎㅎ 02.20 
윾진이었네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅂㅈㄷㄱ(39.117) 02.20 
오윤희 ㅋㅋㅋㅋㅋ     ㅇㅇ(110.15) 02.20 
야윤희 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     DEADPOOL 02.20 
틀나봉쓰 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     토롱이 02.20 
ㅗㅜㅑ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(119.201) 02.20 
틀나봉쓰 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     이나은꼬시.. 02.20 
트와이스 콘서트 이 ㅈㄹ ㅋㅋㅋㅋㅋ     ㅇㅇ(106.101) 02.20 
틀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(110.11) 02.20 
틀나봉쓰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ 02.20 
틀나봉스ㅋㅋㅋㅋㅋ     루다유니스 02.20 
킬나봉쓰 ㅋㅋ     마거릿 02.20 
틀나봉쓰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     쿨쿨 02.20 
틀나봉쓰 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     야갤 02.20 
틀나봉쓰 시발ㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ 02.20 
틀나 ㅋㅋㅋ     ㅇㅇ(211.36) 02.20 
와ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(119.66) 02.20 
와씹소름ㅋㅋ     쯧 02.20 
통수에 통수 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ      ㅇㅇ(223.39) 02.20 
틀나봉쓰 능욕잼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㄹ(45.64) 02.20 
킬나봉스 ㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ 02.20 
ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ 02.20 
틀나봉쓰 ㅋㅋㅋㅋㅋ     ㅇㅇ(116.36) 02.20 
룸빵즈원 딥감명 ㅋㅋㅋㅋㅋ      ㅇㅇ(223.38) 02.20 
킬나봉쓰머노ㅋㅋ     프레디프리.. 02.20 
바다가 아니라 유진이었농 ㅋㅋㅋ     ㅇㅇ(49.168) 02.20 
틀나봉스 ㅇ엿노     ㅇㅇ(110.9) 02.20 
틀나봉쓰ㅋㅋㅋㅋㅋ     ㅇㅇ(110.12) 02.20 
오윤희ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     GUEST02 02.20 
===02/21 02:32:03
킬나봉쓰 타임 ㅋㅋㅋㅋㅋ     우하하팡파.. 02.20 
오윤희 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ      이성경 02.20 
전라봉쓰 또 통수 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(112.160) 02.20 
